              start,                   end,  length,   inter,    swel,    hsig,     tps,  a_hsig,   a_tps
2002-10-12 03:00:00,   2002-10-13 13:00:00,      34,      71,    0.26,    4.04,   10.00,    3.61,    9.01
2002-10-16 12:00:00,   2002-10-17 08:00:00,      20,      63,    0.40,    5.54,    9.09,    4.01,    9.15
2002-10-19 23:00:00,   2002-10-20 04:00:00,       5,     152,   -0.34,    3.71,    7.69,    3.45,    7.95
2002-10-26 12:00:00,   2002-10-27 01:00:00,      13,     251,    0.09,    4.96,   10.00,    3.93,    9.05
2002-11-06 12:00:00,   2002-11-06 18:00:00,       6,      52,    0.05,    3.57,    9.09,    3.35,    8.50
2002-11-08 22:00:00,   2002-11-09 05:00:00,       7,     183,   -0.14,    3.39,    7.69,    3.24,    7.70
2002-11-16 20:00:00,   2002-11-19 00:00:00,      52,     105,    0.18,    4.66,    8.33,    3.64,    8.89
2002-11-23 09:00:00,   2002-11-23 20:00:00,      11,     146,   -0.26,    3.78,    8.33,    3.52,    7.92
2002-11-29 22:00:00,   2002-12-01 23:00:00,      49,     240,   -0.06,    4.14,    9.09,    3.55,    8.86
2002-12-11 23:00:00,   2002-12-12 11:00:00,      12,      46,    0.35,    5.22,   10.00,    4.25,    8.92
2002-12-14 09:00:00,   2002-12-15 07:00:00,      22,     137,    0.12,    3.87,    9.09,    3.41,    9.60
2002-12-21 00:00:00,   2002-12-22 00:00:00,      24,      88,   -0.11,    3.60,    7.69,    3.26,    8.96
2002-12-25 16:00:00,   2002-12-26 12:00:00,      20,     157,    0.36,    5.13,    9.09,    4.03,    8.08
2003-01-02 01:00:00,   2003-01-04 10:00:00,      57,     225,    0.32,    4.71,    8.33,    3.76,    8.43
2003-01-13 19:00:00,   2003-01-14 00:00:00,       5,     152,     nan,    3.43,    7.14,    3.18,    7.47
2003-01-20 08:00:00,   2003-01-21 04:00:00,      20,     360,     nan,    3.67,    7.69,    3.33,    8.15
2003-02-05 04:00:00,   2003-02-05 15:00:00,      11,     170,     nan,    3.83,    7.14,    3.56,    8.87
2003-02-12 17:00:00,   2003-02-13 01:00:00,       8,     105,   -0.61,    3.40,    7.14,    3.18,    7.63
2003-02-17 10:00:00,   2003-02-18 17:00:00,      31,     124,    0.19,    5.91,   10.00,    4.54,   10.29
2003-02-23 21:00:00,   2003-02-24 10:00:00,      13,    1027,   -0.42,    4.61,   10.81,    3.87,   10.57
2003-04-08 05:00:00,   2003-04-08 22:00:00,      17,      73,    0.01,    4.27,    8.33,    3.67,    8.73
2003-04-11 23:00:00,   2003-04-12 03:00:00,       4,     191,    0.08,    3.38,    9.09,    3.24,    8.90
2003-04-20 02:00:00,   2003-04-20 05:00:00,       3,     159,   -0.12,    3.21,   12.90,    3.09,   12.90
2003-04-26 20:00:00,   2003-04-27 08:00:00,      12,    3175,    0.10,    3.94,   10.81,    3.49,    9.86
2003-09-06 15:00:00,   2003-09-06 18:00:00,       3,     278,    0.34,    3.34,   16.00,    3.27,   16.00
2003-09-18 08:00:00,   2003-09-19 18:00:00,      34,     520,    0.18,    5.07,   12.90,    4.06,   13.65
2003-10-11 10:00:00,   2003-10-12 11:00:00,      25,      68,    0.17,    3.72,   10.81,    3.31,    9.32
2003-10-15 07:00:00,   2003-10-16 02:00:00,      19,     133,   -0.07,    4.73,    8.33,    4.05,    8.51
2003-10-21 15:00:00,   2003-10-22 01:00:00,      10,     192,    0.09,    4.11,    8.33,    3.57,    8.51
2003-10-30 01:00:00,   2003-10-30 06:00:00,       5,     345,   -0.14,    3.25,   10.00,    3.15,   10.00
2003-11-13 15:00:00,   2003-11-14 23:00:00,      32,     132,   -0.46,    5.33,   10.00,    4.01,    8.34
